representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,1,momentum__cmf_short_acceleration,-0.0035204614682586718,0.12017341480966932,-0.02929484423684206,2551,2551.0,-1.479607153941207,0.13910164001604966
base,1,momentum__mfi_long_velocity,-0.0037970648669270347,0.12997722296988498,-0.02921330968739649,2551,2551.0,-1.4754890537841385,0.1402045678282766
base,1,volume__price_zvel12_26,-0.0043979366936459,0.15445212180334597,-0.02847443364517525,2551,2551.0,-1.4381703273520172,0.15050844249529938
base,1,candle__gap_log,-0.004657152372536576,0.1662872484656957,-0.02800667168112608,2551,2551.0,-1.4145448749429432,0.15732406986247055
base,1,momentum__rsi_long_acceleration,-0.003690048063837574,0.14327087384257786,-0.025755744799128528,2551,2551.0,-1.3008563538272164,0.19342516498638393
base,1,momentum__mfi_short_velocity,-0.0034381874694553393,0.13456077465313787,-0.025551186653897304,2551,2551.0,-1.2905246486085753,0.1969855587979063
base,1,trend__rel_52,-0.004590634333419403,0.18704436937921082,-0.024543023394157475,2551,2551.0,-1.239604918181207,0.21523562768284066
base,1,candle__body_size,-0.0026985846939486195,0.11125056680936622,-0.024256817482762028,2551,2551.0,-1.2251493945205487,0.2206320885731333
base,1,momentum__mfi_short_raw,-0.003436375035109645,0.14367909682275987,-0.023917014451647758,2551,2551.0,-1.2079868183449336,0.22716435063311258
base,1,momentum__rsi_short_velocity,-0.003424148191422036,0.14850090359417786,-0.023058096675152375,2551,2551.0,-1.1646050929984793,0.24428782107944327
base,1,momentum__cci_short_acceleration,-0.00324105177796905,0.1438377821098438,-0.022532687381775492,2551,2551.0,-1.1380680224155966,0.2551989934925091
base,1,momentum__cci_long_raw,-0.0037221905619799606,0.16632147991090565,-0.022379494001459384,2551,2551.0,-1.1303306192186517,0.25844324094687776
base,1,momentum__cmf_short_raw,-0.0029535131392200323,0.1360336331086929,-0.021711639039002445,2551,2551.0,-1.0965989846601145,0.2729202788133506
base,1,momentum__mfi_short_acceleration,-0.0027275249594674957,0.12709038513245102,-0.021461300606060205,2551,2551.0,-1.0839550349844256,0.2784872112290619
base,1,momentum__cci_long_velocity,-0.0030808707117349955,0.15209383520807346,-0.020256381249905232,2551,2551.0,-1.0230976607353754,0.30635871936330467
base,1,momentum__mfi_long_acceleration,-0.0025729655305369407,0.1273617483018919,-0.020202027412799896,2551,2551.0,-1.0203523883736243,0.30765815762281934
base,1,momentum__rsi_short_raw,-0.0032550909849572095,0.1637422541046428,-0.019879358585579127,2551,2551.0,-1.004055216719465,0.3154472646834922
base,1,trend__velocity_26/52,0.0036647896585893167,0.19182836325734381,0.019104524463219683,2551,2551.0,0.9649203402445468,0.3346762100499455
base,1,trend__velocity_12/26,-0.0030291264361911735,0.1825857879960756,-0.01659015452098758,2551,2551.0,-0.837925988470434,0.4021508017363308
base,1,momentum__cmf_long_acceleration,-0.0018712894210706102,0.12301997313154621,-0.015211265077010105,2551,2551.0,-0.7682818330242258,0.44239090637164635
base,1,momentum__mfi_long_raw,-0.0017520079944907643,0.1456184486331141,-0.012031497457474987,2551,2551.0,-0.6076799578376748,0.5434538696952764
base,1,momentum__rsi_short_acceleration,-0.0015385634269483592,0.14178332021571488,-0.010851512184984289,2551,2551.0,-0.5480819399541461,0.5836836144243849
base,1,momentum__rsi_long_raw,-0.0017063432301721506,0.16795410260303395,-0.010159580526622556,2551,2551.0,-0.5131342534782141,0.6079018628440627
base,1,momentum__cci_long_acceleration,-0.0013358259111197176,0.14241982311358597,-0.009379494243960257,2551,2551.0,-0.47373410390967796,0.6357300857785713
base,1,trend__rel_104,0.001753408960725718,0.19678472764406274,0.008910289846767084,2551,2551.0,0.45003579791648224,0.6527228827554724
base,1,trend__adx,0.0001601487540148172,0.11726540212609567,0.0013656948350597817,2551,2551.0,0.06897772972329815,0.9450127546120679
base,1,momentum__cmf_long_raw,0.0001086706594990584,0.13702082431030363,0.0007930959403145747,2551,2551.0,0.040057233879242905,0.9680506326292693
base,5,trend__rel_26,-0.016536933303341158,0.16563921855225033,-0.0998370642404633,2551,510.2,-2.255080393227251,0.02455215820151208
base,5,trend__rel_12,-0.016126044793325956,0.1636483170915533,-0.0985408532145443,2551,510.2,-2.2258020876974074,0.02646445067183454
base,5,volume__ad_zvel12_26,-0.01139342273906969,0.11633828347004847,-0.09793356407912748,2551,510.2,-2.2120848792366306,0.02740391903524821
base,5,volume__ad_zvel26_52,-0.010995385520359073,0.11465363524584872,-0.09590088876625641,2551,510.2,-2.1661716076603335,0.030761367692471998
base,5,trend__acceleration_52/104,-0.01582055258550713,0.16784093431735722,-0.09425920232065255,2551,510.2,-2.1290898390459096,0.033726027335430724
